Date,compound,Low,Open,Volume,High,Close,Adjusted Close
05-01-12,0.0772,20.75821495,20.88928604,610999200,21.31285667,20.79035759,17.90805626
05-02-12,0.4767,20.67357063,20.72285652,427389200,20.97857094,20.92785645,18.02649117
05-03-12,0.5859,20.72500038,21.0892868,390549600,21.12142944,20.77928543,17.89851379
05-04-12,-0.6712,20.18464279,20.61000061,529992400,20.65571404,20.1875,17.38877678
05-07-12,-0.8528,20.04392815,20.0535717,460118400,20.45607185,20.33857155,17.51890373
05-08-12,0.9521,19.95464325,20.34214211,497252000,20.4107132,20.29214287,17.47890854
05-09-12,0.8851,20.03035736,20.13214302,480704000,20.49928665,20.32785606,17.50967216
05-10-12,0.775,20.30142975,20.52071381,333200000,20.56714249,20.37571335,17.55089569
05-11-12,0.7579,20.15535736,20.1785717,399546000,20.51678658,20.2396431,17.43368912
14-05-12,0.5859,19.91428566,20.09178543,352626400,20.26821327,19.93642807,17.17251396
15-05-12,0.9453,19.7053566,20.05178642,476336000,20.11499977,19.75607109,17.01716042
16-05-12,0.9643,19.3228569,19.78750038,560896000,19.88892937,19.50285721,16.79904747
17-05-12,0.9626,18.93285751,19.47535706,717220000,19.5535717,18.93285751,16.30807304
18-05-12,0.9696,18.64928627,19.06999969,732292400,19.40749931,18.94214249,16.31606674
21-05-12,0.9758,19.07321358,19.0892868,631106000,20.05500031,20.04571342,17.26664543
22-05-12,0.6893,19.73500061,20.34107018,694870400,20.49571419,19.89178658,17.134058
23-05-12,-0.971,19.75821495,19.9107132,584897600,20.45714378,20.37714386,17.55212593
24-05-12,-0.7007,20.04392815,20.56678581,496230000,20.5892868,20.19000053,17.39092636
25-05-12,-0.8708,19.94535637,20.16392899,328507200,20.20892906,20.0817852,17.29771423
29-05-12,0,20.18964386,20.38928604,380508800,20.5,20.43821335,17.60472488
30-05-12,0.8418,20.23428535,20.32857132,529429600,20.71392822,20.68464279,17.81699944
31-05-12,0.903,20.4092865,20.74071312,491674400,20.7678566,20.63321495,17.77269554
06-01-12,0.3818,20.01857185,20.32714272,520987600,20.45178604,20.03535652,17.25772667
06-04-12,0.9703,19.5892868,20.0535717,556995600,20.2678566,20.1532135,17.3592453
06-05-12,-0.5859,19.94035721,20.04535675,388214400,20.23107147,20.1010704,17.31432724
06-06-12,0.964,20.1964283,20.27750015,401455600,20.49464226,20.4092865,17.57981682
06-07-12,0.9414,20.375,20.61750031,379766800,20.61857033,20.41857147,17.58780861
06-08-12,0.7559,20.3214283,20.41428566,347516400,20.73500061,20.72571373,17.85237312
06-11-12,0.9766,20.37964249,20.98999977,591264800,21.0178566,20.3989296,17.57089233
06-12-12,0.8053,20.23928642,20.5164299,435380400,20.59357071,20.57714272,17.72440147
13-06-12,0.9787,20.37071419,20.51857185,293580000,20.65999985,20.43428612,17.60134697
14-06-12,0.9228,20.25928688,20.40142822,345573200,20.4821434,20.41178513,17.5819664
15-06-12,-0.7684,20.34107018,20.3928566,335255200,20.52214241,20.50464249,17.66194534
18-06-12,0.9125,20.37035751,20.3914299,440412000,20.99607086,20.92071342,18.02034187
19-06-12,0.9857,20.82500076,20.83571434,361404400,21.0714283,20.97892952,18.07048607
20-06-12,0.9482,20.74285698,21.00749969,358943200,21.0446434,20.91928673,18.01910973
21-06-12,0.2287,20.62285614,20.90857124,326351200,21.00785637,20.63107109,17.77085304
22-06-12,0.5423,20.55071449,20.68000031,284471600,20.79249954,20.78928566,17.90712929
25-06-12,0.9643,20.37035751,20.61785698,304382400,20.70714378,20.38464355,17.55858994
26-06-12,0.5346,20.26178551,20.40464211,276536400,20.51749992,20.42964363,17.59734535
27-06-12,0.9723,20.42571449,20.5357132,202997200,20.59785652,20.5178566,17.67333221
28-06-12,0.9409,20.20035744,20.41678619,282836400,20.5,20.32321358,17.50567627
29-06-12,0.4491,20.5089283,20.6428566,421500800,20.8571434,20.8571434,17.96557999
07-02-12,0,20.84285736,20.88321495,400092000,21.19535637,21.16142845,18.22768402
07-03-12,-0.8511,21.2142868,21.24571419,241712800,21.4285717,21.40749931,18.43963623
07-05-12,0.9817,21.41607094,21.44857025,484383200,21.94071388,21.78357124,18.7635746
07-06-12,-0.6249,21.48500061,21.68178558,418930400,21.72999954,21.63857079,18.63866997
07-09-12,-0.1082,21.57535744,21.61785698,379405600,21.92499924,21.92464256,18.88508797
07-10-12,0.9761,21.61821365,22.07035637,511957600,22.13821411,21.7217865,18.71035385
07-11-12,0.7831,21.32928658,21.64714241,469322000,21.70214272,21.58678627,18.59406853
07-12-12,0.7816,21.16714287,21.43714333,428041600,21.55249977,21.38928604,18.42394829
13-07-12,0.8882,21.4285717,21.53392982,311427200,21.68535614,21.60607147,18.61068535
16-07-12,0.9889,21.60785675,21.61142921,301260400,21.84357071,21.67535782,18.67036247
17-07-12,0.9657,21.54107094,21.8139286,293624800,21.8392868,21.67642975,18.67129326
18-07-12,0.7713,21.55571365,21.66392899,252700000,21.72642899,21.65214348,18.65036392
19-07-12,0.8912,21.6428566,21.83142853,436861600,21.97678566,21.94000053,18.89831543
20-07-12,0.9128,21.56071472,21.89392853,397471200,21.94428635,21.58214378,18.590065
23-07-12,0.9718,20.9896431,21.22857094,487975600,21.63928604,21.56535721,18.57560539
24-07-12,0.9894,21.37535667,21.69214249,565132400,21.77428627,21.4614296,18.4860878
25-07-12,-0.5259,20.3571434,20.5164299,877312800,20.74285698,20.53464317,17.68779182
26-07-12,0.9558,20.37000084,20.70571327,406632800,20.72857094,20.53142929,17.68502235
27-07-12,0.9702,20.41392899,20.53607178,403936400,20.92250061,20.89857101,18.00126839
30-07-12,0.0899,20.99357033,21.10428619,379142400,21.40857124,21.25107193,18.30489731
31-07-12,0.886,21.52571487,21.54392815,462327600,21.84642982,21.81285667,18.78880119
08-01-12,-0.885,21.5357132,21.99678612,384501600,22.01428604,21.67178535,18.6672821
08-02-12,0.4116,21.4375,21.53000069,332158400,21.81035614,21.7067852,18.69743919
08-03-12,0.7733,21.84142876,21.91535759,344920800,22.07071495,21.98928642,18.94076729
08-06-12,0.9805,21.97357178,22.0460701,302103200,22.31678581,22.23392868,19.15149307
08-07-12,-0.5029,22.0728569,22.24178505,290446800,22.3214283,22.17535782,19.1010437
08-08-12,0,22.03928566,22.12107086,244706000,22.28142929,22.13785744,19.06874657
08-09-12,0.9696,22.06428528,22.06607056,221642400,22.20464325,22.16892815,19.17748833
08-10-12,-0.2115,22.09642982,22.0967865,194938800,22.20571327,22.20357132,19.20745468
13-08-12,0.9792,22.2589283,22.26392937,278832400,22.5,22.5,19.46389008
14-08-12,0.9575,22.50749969,22.56678581,340169200,22.80750084,22.56035614,19.51610184
15-08-12,0.987,22.4196434,22.54642868,257342400,22.6428566,22.52964211,19.48952866
16-08-12,0.9703,22.5178566,22.5432148,254534000,22.74142838,22.72642899,19.65976334
17-08-12,0.7506,22.81464386,22.8571434,442761200,23.14964294,23.14678574,20.02338982
20-08-12,0.9871,23.21071434,23.21464348,613384800,23.75535774,23.75535774,20.54984474
21-08-12,0.9491,23.2260704,23.95785713,812719600,24.10285759,23.43071365,20.26901436
22-08-12,0.9818,23.14678574,23.37214279,565322800,23.8928566,23.88821411,20.66477966
23-08-12,0.9562,23.61249924,23.78964233,420128800,23.92499924,23.66535759,20.47199249
24-08-12,0.5661,23.41250038,23.55392838,437340400,23.90999985,23.68642807,20.49021912
27-08-12,0.8516,24.05500031,24.28535652,427008400,24.31678581,24.13142967,20.87517548
28-08-12,0.8519,23.95249939,24.10642815,267416800,24.14642906,24.10000038,20.84798813
29-08-12,-0.7019,24.02142906,24.1160717,202806800,24.20249939,24.05249977,20.80690002
30-08-12,-0.4554,23.67321396,23.95142937,302699600,23.98392868,23.70964241,20.51030731
31-08-12,-0.9231,23.4732132,23.8303566,338321200,23.87857056,23.75857162,20.55262756
09-04-12,0,23.7321434,23.77714348,367892000,24.11214256,24.10607147,20.85324097
09-05-12,0.9607,23.91428566,24.12750053,336375200,24.15535736,23.93678665,20.70679474
09-06-12,-0.296,23.95714378,24.04178619,391196400,24.22464371,24.15250015,20.89340401
09-07-12,0.5865,24.13464355,24.21607018,329666400,24.37428665,24.30142975,21.02223969
09-10-12,0.9726,23.64642906,24.30178642,487998000,24.4032135,23.66928673,20.4753933
09-11-12,-0.8525,23.4464283,23.75392914,503983200,23.93214226,23.59250069,20.40896797
09-12-12,0.9742,23.4285717,23.81607056,712233200,23.92499924,23.9210701,20.69320297
13-09-12,0.8419,24.09892845,24.19178581,598360000,24.4821434,24.39214325,21.10070801
14-09-12,0.5093,24.56749916,24.6414299,600474000,24.89214325,24.68857193,21.35713387
17-09-12,0.7652,24.80750084,24.97678566,398031200,24.99285698,24.99214363,21.61974716
18-09-12,0.9452,24.87214279,24.99571419,373503200,25.08321381,25.06821442,21.68555069
19-09-12,-0.9547,24.98464394,25.00928688,326874800,25.14249992,25.07500076,21.69142342
20-09-12,0.9062,24.77214241,24.96999931,336568400,25.00214386,24.95357132,21.58637619
21-09-12,0.9704,24.97714233,25.08607101,571589200,25.18107033,25.00321388,21.62932014
24-09-12,-0.9942,24.3928566,24.53071404,639766400,24.82571411,24.6710701,21.34200096
25-09-12,0.2617,24.0357132,24.58071327,518789600,24.74214363,24.05500031,20.80905724
26-09-12,-0.4398,23.61428642,23.88357162,576503200,24.02464294,23.75642967,20.55077553
27-09-12,0.9866,23.58392906,23.72464371,594090000,24.36321449,24.33285713,21.04942131
28-09-12,0.7935,23.8125,24.2410717,535110800,24.32535744,23.82500076,20.61009598
10-01-12,0.8361,23.4464283,23.96999931,543594800,24.1696434,23.54964256,20.37189865
10-02-12,0.8872,23.23749924,23.63607025,627992400,23.79821396,23.61821365,20.43120956
10-03-12,0.9201,23.66535759,23.74500084,424281200,23.99500084,23.98035622,20.74448967
10-04-12,-0.6897,23.76964378,23.9732132,370725600,24.0803566,23.81428528,20.60083199
10-05-12,0.9423,23.26000023,23.75714302,594006000,23.7857132,23.30678558,20.16181374
10-08-12,-0.886,22.71821404,23.10285759,637994000,23.12714386,22.79178619,19.71630096
10-09-12,-0.8927,22.26964378,22.80892944,838597200,22.87464333,22.70892906,19.64462662
10-10-12,0.962,22.75,22.84785652,510356000,23.03499985,22.88964272,19.800951
10-11-12,0.9726,22.43214226,23.0892868,546081200,23.11428642,22.43214226,19.40518188
10-12-12,0.926,22.33214378,22.48428535,460014800,22.69214249,22.4896431,19.45492744
15-10-12,0.7679,22.28035736,22.58392906,432502000,22.68321419,22.67000008,19.61095428
16-10-12,0.9413,22.5357132,22.69178581,549771600,23.22500038,23.2067852,20.07530212
17-10-12,-0.2263,23,23.17392921,389037600,23.3139286,23.02178574,19.91526604
18-10-12,0,22.5,22.84250069,476624400,22.93071365,22.59428596,19.5454483
19-10-12,-0.9607,21.77214241,22.53750038,744086000,22.56321335,21.78000069,18.84104538
22-10-12,0.944,21.81285667,21.87214279,546730800,22.69214249,22.64392853,19.58839607
23-10-12,0.7088,21.84642982,22.5357132,707145600,22.63928604,21.90571404,18.94979858
24-10-12,0.6103,21.80857086,22.19428635,558527200,22.37678528,22.02964211,19.05699921
25-10-12,0.8639,21.62678528,22.1428566,656325600,22.2142868,21.7692852,18.83177185
26-10-12,0.8176,21.1071434,21.76535606,1018432800,21.9285717,21.5714283,18.66061783
31-10-12,0.5106,20.98928642,21.24571419,510003200,21.4985714,21.26142883,18.39244652
11-01-12,0,21.22035789,21.36499977,361298000,21.5357132,21.30500031,18.43014145
11-02-12,-0.743,20.5267868,21.28178596,599373600,21.31964302,20.60000038,17.82027054
11-05-12,0.2722,20.62857056,20.84000015,529135600,20.99178505,20.87928581,18.06186676
11-06-12,0.9106,20.71750069,21.07964325,374917200,21.09785652,20.81607056,18.00718689
11-07-12,0.7351,19.8482132,20.49428558,793648800,20.5192852,19.9285717,17.3181839
11-08-12,0.4019,19.11750031,20.02249908,1056146000,20.07964325,19.2053566,16.68970108
11-09-12,0.8275,19.06142807,19.30071449,929913600,19.81714249,19.53785706,16.97864914
11-12-12,0.9898,19.23749924,19.79107094,515802000,19.8035717,19.38678551,16.84736252
13-11-12,0.9732,19.15571404,19.24678612,532949200,19.65999985,19.38928604,16.84954071
14-11-12,0.9618,19.14928627,19.4821434,477170400,19.55178642,19.17428589,16.66270065
15-11-12,0.9703,18.66500092,19.19750023,789910800,19.2678566,18.77214241,16.3132267
16-11-12,-0.6353,18.0625,18.75714302,1266893600,18.9285717,18.84571457,16.37716484
19-11-12,0.9789,19.28142929,19.3110714,823317600,20.2678566,20.20464325,17.55809021
20-11-12,0.9855,19.80642891,20.42535782,642754000,20.42678642,20.03249931,17.40849876
21-11-12,0.9686,19.87857056,20.1517868,373002000,20.26321411,20.06071472,17.43301582
23-11-12,0.9888,20.09285736,20.25607109,272826400,20.4285717,20.4107132,17.73717499
26-11-12,0.9707,20.4896431,20.56785774,630579600,21.0714283,21.05464363,18.29675865
27-11-12,0.8779,20.71785736,21.05535698,533330000,21.0864296,20.88500023,18.14933395
28-11-12,0.2732,20.43785667,20.61678505,520864400,20.92142868,20.81928635,18.09222794
29-11-12,0.8485,20.9017868,21.07928658,514698800,21.2232132,21.04857063,18.2914772
30-11-12,0.946,20.80999947,20.9567852,391319600,21.01428604,20.90285683,18.16485214
12-03-12,0,20.9107132,21.20178604,364280000,21.23535728,20.93535614,18.19309235
12-04-12,-0.7057,20.43321419,20.77857018,557068400,20.77857018,20.56607056,17.87217712
12-05-12,0.9854,19.24178505,20.31821442,1044638000,20.3303566,19.24250031,16.72197151
12-06-12,0.9951,18.52249908,18.89071465,1177212400,19.76107025,19.54428673,16.98423386
12-07-12,0.9873,18.9285717,19.76428604,787040800,19.82857132,19.0446434,16.55003548
12-10-12,0.9117,18.62785721,18.75,630484400,19.23250008,18.92214394,16.44358826
12-11-12,0.9732,19.19178581,19.27750015,592345600,19.62714386,19.33535767,16.80267525
12-12-12,0.9927,19.15250015,19.56321335,487144000,19.5714283,19.25,16.72849655
13-12-12,-0.5831,18.77857018,18.96964264,625259600,19.20142937,18.91749954,16.43955231
14-12-12,-0.6251,18.05642891,18.3839283,1009579200,18.50464249,18.2067852,15.82193184
17-12-12,0.9677,17.90107155,18.17607117,757607200,18.5714283,18.52964211,16.10249901
18-12-12,0.9871,18.5803566,18.75,625685200,19.10357094,19.06785774,16.57021523
19-12-12,0.8705,18.7678566,18.98107147,449369200,19.06071472,18.79678535,16.33464622
20-12-12,0.737,18.53142929,18.9285717,481689600,18.93571472,18.63321495,16.19249916
21-12-12,0.9223,18.22285652,18.30249977,596268400,18.55964279,18.54750061,16.1180172
24-12-12,0.9844,18.52535629,18.58392906,175753200,18.7232132,18.57749939,16.14408684
26-12-12,0.9578,18.25428581,18.5357132,302436400,18.5521431,18.3214283,15.92156124
27-12-12,0.9702,18.02357101,18.3407135,455120400,18.4375,18.39500046,15.98548794
28-12-12,0.34,18.14714241,18.22464371,354278400,18.37428665,18.19964218,15.81572533
31-12-12,0,18.1785717,18.23321342,659492400,19.12142944,19.00607109,16.51651955
01-02-13,0.8867,19.34392929,19.77928543,560518000,19.8214283,19.60821342,17.0397892
01-03-13,0.9001,19.3214283,19.56714249,352965200,19.63107109,19.36071396,16.82471466
